sadness	Przygnębiony ciężarem sumienia, zawstydzony wzrok wlepił w ziemię.
surprise	— Ale, ale!...
sadness	Od wieków tak bardzo odosobieni, samotni, nie żyjąc z nikim, rodziną się tylko własną i sami sobą otaczając starczyli sobie, ani z sąsiadami, ani z tymi do których wypadki ich zbliżały nie zawiązując ściślejszych stosunków.
surprise	Nie wspomniał nic o warunkach, pod jakimi ochotnicy zgodzili się na tę naukę.
anticipation	Zapatrzyła się w rękę.
anticipation	Słucham was, panie von Bergow.
anticipation	— Nie zaraz odbędzie się tyle przeze mnie upragniona uroczystość.
anger	— Ach, gdyby wiedzieli — mówił z gniewem władca — jak faraon jest bezsilny i ubogi, każdy nomarcha zechciałby być panem swego nomesu!...
sadness	Śmiech jej krył wzruszenie, które mi sprawiło ból.
trust	— Będę się wpatrywał w plamy atramentowe... będę wiernie pilnował klejnotów!
fear	— Kto pan jesteś? czego tu chcesz?...
fear	— Bój się Boga, Senderl!
anticipation	— Ależ chcę wiedzieć...
anticipation	Padre Torquemada stał przy oknie zamyślony, na koniec odwrócił się i podszedł do stołu.
trust	Zrozumiałaś mnie.
anticipation	— Marku, a Drakecity?
neutral	Byłto młody chłopak z jasnemi włosy, skromnie, ale czysto odziany, wyglądający na leśniczego lub pisarza, z torbą myśliwską na plecach, w czarnych, długich po kolana butach, z harapnikiem przez plecy, w wiejskim kapeluszu słomianym na głowie.
surprise	Mówcie, którzy stąd jesteście: prawda-li to?
anticipation	Co?
anticipation	To pewnie i gazety pisze?
sadness	Innym znów razem, w dzień chłodny płukać musiała wraz z praczkami bieliznę nad brzegiem jeziora.
anger	Tyś go zabił — podchwycił sędzia.
anticipation	— zapytała.
anger	— mruknął stary ze złością i, nie skończywszy obiadu, wyszedł, a Janka była w takiem usposobieniu, że aby mu zrobić więcej przykrości, kazała koniom czekać przed dworem całe dwie godziny, i z pewną przyjemnością widziała, że stary kilka razy wyglądał z oficyny na podjazd, klął głośno na marnowanie czasu i na jaśnie państwo, i, nie mogąc wkońcu wytrzymać, krzyknął na stangreta:
disgust	Wolałby jednak pozostać w domu i czytać tę książkę, niżeli iść na wieczór do baronowej, gdzie nie znajdzie najpewniej nic nowego, ani szczególnie przyjemnego.
sadness	Nadeszła chwila, że tłumione łkanie wstrząsnęło te rycerskie piersi.
fear	Oto szczepienie będzie spóźnione, oto profesor będzie umierał w najstraszliwszych, w najdzikszych męczarniach.
joy	Nie znam w istocie szczęśliwszego małżeństwa.
joy	Oswald w jego wieku znał się nawet na zegarze słonecznym.
sadness	Mąż zabity, syn uległ wypadkowi, córka pod ziemią, może już martwa, a w dodatku chory starzec, dziecko okaleczałe skutkiem wypadku i wreszcie córka zmarła z głodu podczas strajku.
anticipation	Dowiedź tego!
sadness	Wyrwał ze złoconych ram portret matki i zwinął go; w złotych ramach pozostała czarna pustka.
anticipation	Kanclerz państwa i inni dopraszali się, aby Władysław niezwłócząc udał się do Szegedynu, gdzie posłowie tureccy przybyć mieli.
anger	— Słuchaj — rzekł zniecierpliwiony tem do Fotofera, przybyłego w odwiedziny jednego poranku, jak to może być żebym ja się dał temu Włochowi pokonać i odszedł z niczem.
surprise	Pierwszy raz to we wsi czy co!
disgust	Ciało: to szatan, to złość, to niedoskonałość, zgnilizna i robactwo; duch jedyną prawdą.
surprise	— Przysięgam, że tego po tobie się nie spodziewałem.
sadness	Tak nad niemi pochyloną z boku schwyciła pantera, drasnęła ją ledwie, i piękna jej główka jak zwiędły kwiat pochyliła się blada, prawie bez śmiertelnego wysiłku...
anger	Nie!
surprise	— Aa?!...
neutral	Historja wahającego się oblubieńca i zerwanego małżeństwa może temu odpowiadać, jak recenzja rozsądnego dziennikarza może dać treść sztuki Ibsena.
anticipation	— Czy powiedział coś?
anger	Z przyjemnością rzuciłabym mu wprost w twarz, że Halszka go nienawidzi.
anger	— Idź do diabła!
sadness	Znów siedział w milczeniu, strasznie tęsknym wzrokiem patrząc w dal, jakby szukając tej zmarnowanej okazji odznaczenia się; rozwarte nozdrza zdawały się chwytać upajającą woń tej zmarnowanej sposobności.
neutral	— Już go raz słyszałem.
neutral	Mnie zaraz powiedziała, jako było.
neutral	Po nabożeństwie odbyło się zebranie rady kościelnej.
joy	— ozwał się Kim, parskając śmiechem, a oczy mu się zaświeciły.
fear	Na miły Bóg, bądź ostrożna!
sadness	I sam ten człowiek, gdyby nawet był wolny, nie byłby zdolny do poważnego przywiązania, gdy ona — czuła to dobrze — potrafiłaby w życiu kochać tylko raz.
neutral	— Nie wiem, panie dyrektorze.
anticipation	— Gotów nieboszczyk?...
anger	Puść mnie, wolnym chcę być!
sadness	— Bóg widzi, że moja hardość została za bramą tutejszą.
anticipation	Weźcie mnie z sobą.
sadness	Lampka żółtym cieniem spowija izbę suteryny, jej ubogie sprzęty i znużone świętem twarze mieszkańców.
fear	A kiedy wyszła z pierwszego osłupienia, gdy jeden rok i drugi minął głucho, czuła niepokój w głębi piersi, jakby trzepotanie źle związanych skrzydeł.
anger	— Och, daj spokój!
neutral	— panem dziedzicem Nawłoci z przyległościami.
sadness	—... Odszedłeś od nas — wołały płaczki — nie ma cię, panie... osierociłeś nas biednych...
joy	Anna ocknęła się, wzruszona serdecznością Franciszka.
joy	Mason aż pozieleniał z radości.
anticipation	— Domyślałam się — powiedziała — że na coś się zanosi, chociaż Sämund nic mi nie powiedział.
trust	Gdybym miał ciebie tego dnia, licytowałbym wyżej i utrzymałbym się przy kupnie.
surprise	— Nie wiedziałem, że się interesujesz zoologią.
neutral	Pojadę do Szczytna.
neutral	Bernard obojętnie podniósł ramiona.
trust	— Co komu Pan Bóg przeznaczył, to go i tak nie minie — odparł Litwin.
sadness	Teraz dopiero z setek i tysięcy szczegółów układałem w sobie obraz zmarłej, ów obraz, który mi wszędzie towarzyszy.
fear	I przerażona czuje, że serce jej tłuc się zaczyna jak ptak w klatce.
surprise	— Skąd tak idziesz?
trust	Bogu polecam moje dzieci!
sadness	Może życie niczego więcej nie warte!
surprise	— A nie chceszli wyspowiadać się przed drogą?
joy	I widząc, że ciotka naprawdę nie wie, co znaczy piszczyk, aby mieć przyjemność okazania, że jest w równym stopniu wykształcona jak purystka, i aby zadrwić z ciotki, zadrwiwszy poprzednio z pani de Cambremer, rzekła na wpół ze śmiechem, powściąganym przez resztki udanego złego humoru:
disgust	Lekkie szyderstwo brzmiało w jego głosie.
anger	Niechże się ów komtur przekona, że nie twoja zapalczywość, ale nasze prawa karzą śmiercią za porwanie się na osobę posła.
surprise	Czy to miał być protest?
anticipation	Staś przyszedł do pokoju zawiadowcy i czekał, bo Orłowski chodził wzdłuż pokoju, spoglądał w dwa okna peronu, to przez okienko kasowe, wychodzące na korytarz, wychylał głowę i nasłuchiwał.
anger	— Utaił by się przed innemi, nie przedemną!
sadness	Bito nas nie patrząc gdzie.
joy	— Ach, dobrze, żem se spomniał!
anger	— Po cóż ja ciebie urodziiiłam!...
surprise	Nie?
anticipation	— Więc zrobi pani, o co prosiłem?...
surprise	— spytał Harvey, nie mogąc jeszcze sobie uprzytomnić, że jego życie było najzupełniej bezpieczne.
surprise	— Ale jak ty zrozumiesz tę ich mowę?
anticipation	— Cóż będziesz robił po obiedzie?
disgust	Dał Maciuś dzieciom prawa i patrzcie, co zrobiły.
fear	A wtem na krańcach, gdzie niebo zdawało się stykać z ziemią i rozciągały się mgły sinawe, w tych mgłach właśnie zamajaczało coś i poczęło się poruszać, wypełzały jakieś kształty, z początku mętne, które zwierając się stopniowo, stawały się coraz wyraźniejsze.
neutral	— wołał Pantera.
joy	Nareszcie otwarły się drzwiczki do numeru Płazy-Spławskiego, nareszcie światło...
neutral	W Dobromilu, na etapie w kancelarii, zapisywano wszystkich jeńców jednego po drugim, co odbywało się nie bez trudu, ponieważ wśród wszystkich trzystu jeńców, spędzonych do Dobromila z różnych stron, nie było ani jednego, który rozumiałby mowę rosyjską sierżanta siedzącego za stołem i pełniącego obowiązki tłumacza we Wschodniej Galicji, bo twierdził o sobie, że język rosyjski zna.
surprise	— Zwaryowałeś?
anticipation	Dołożycie starań, aby wcisnąć się do rozmównicy jakiegoś klasztoru; ploteczki tych pustelnic nie będą dla nas bez pożytku.
surprise	— Jak to?
surprise	Rózia postrzegła tylko mundur i przelękła się, sądząc że w mieszkaniu Juljana robić będą rewizyą, ale w chwili gdy ta myśl po jéj główce przebiegła, poznała w zbliżającym się kniazia z bukietem w ręku i pudełkiem cukierków.
neutral	Tak rozmawiając, zbliżyli się do Krakowa.
surprise	Czy kto uwierzy, iż są takie domy?
surprise	Jest pełna!
anticipation	Rozkazał pracować i ochraniać od złego ile w mej mocy i oddać temu tylko, kto, oprócz urzędowej legitymacyi, przyniesie mi znak umówiony z przyjacielem.
anticipation	Podróżny podjechał bliżej, a na orszak skinął, dając znak, żeby na niego zaczekał.
disgust	Słowo Niemca to fałsz...
surprise	— A to, synku, zapomniałeś, że ci przybył jeszcze jeden obowiązek?
fear	Ale gdy tak mówiła, drwiące jej oczy lśniły tak żywo, że książę nie mógł ich znieść; spojrzał na sufit, co było u niego ostatecznym znakiem krańcowego zakłopotania.
anticipation	Wielki, choć z całej siły tłumiony gwałt pożądania był w tych prośbach...
surprise	Czyż pan nie wie, że przynajmniej raz na miesiąc Jagoda podaje się do dymisji.
disgust	— Wcale nie samotnych.
joy	— Mój ojcze!
sadness	Wokulski czuł, że ten mrok, żal i smutek wypływał z jego serca i że to wszystko zakończy się chyba z życiem, jeżeli się zakończy...
trust	Komu jest dobrze, temu się widzi, że wszystko się dzieje na świecie, jak przynależy, jak Pan Bóg przykazał!
surprise	W pierwszej chwili sądziłem, że to intryga miłosna.
anticipation	— spytałem go, kiedyśmy wyszli na ganek, — nie mając już siły powstrzymać tych słów, co od godziny prawie paliły mi wargi.
anticipation	— Jutro, lub dziś nawet.
fear	A jak okaże się, że komitet zbyt pośpiesznie wydał rozkaz egzekucji?
disgust	— Potworny jest — rzekła.
disgust	Doprawdy, nadto jest pewny siebie.
sadness	Na mnie spada cała ich złość dlatego, że ja was bronię z narażeniem moich dóbr w Neapolitańskiem, siebie...
anticipation	Postrzegłszy to, pan Michał pociągnął wszystkich ze sobą do bramy, aby się wjeżdżającym przypatrywać.
trust	No, a cmentarz! widzicie, że mi nic nie zaszkodził, to i wam przy mnie nicby się nie stało...
disgust	Jeszcze tak nie jest, ale on z dniem każdym jest tłuściejszy.
anger	Chce podobać się Solskiemu, a bałamuci innych!
joy	Jaka ta Laura szczęśliwa ze swoim wiecznym spokojem!
anticipation	Przez ustalenie jego tożsamości można będzie wykryć, z kim oskarżony miał do czynienia, a także będzie można poznać jego współwinnych.
sadness	Chybaż on się powiesi — ów Bohun — ale już jemu czarownica przepowiadała, że on tej, o której myśli, nigdy nie dostanie i że Lach ją posiędzie, a ten Lach to pewnie jegomość.
joy	Za każdym razem, kiedy chodziłem się odlać za te lipy na końcu ogrodu, dusza moja czuła się odświeżona widokiem tych przyjaciół.
neutral	Rejentka lekko skinęła głową i rzekła do Ajdara:
neutral	A wtedy ojciec mój powtórzył:
fear	Suknia, kapelusz, okrywka i parasolka, wszystko musi być nowe, a tu tak niewiele czasu i nie tylko nic nie zamówione, ale nawet nie wybrane!...
anticipation	— Wiesz, dziecko, że ojciec sam chce mówić z panem...
anticipation	— Staram się wejść w położenie tego przemysłowca.
trust	Godzę się z losem.
anticipation	Gdyby ów młody człowiek zjawił się za naszych szczęśliwych dni, gdyby przyniósł Brygidzie jakiś obojętny list, czyż byłbym nań zwrócił jaką bądź uwagę?
joy	W tej chwili pani Flora przystąpiła do nich, śmiejąc się na całe swoje puszyste gardziołko.
anticipation	Uklękła i pociągnęła go, aby uczynił to samo.
neutral	Zawiadowca, skoro tylko mu tamten zniknął z oczu powrócił do kancelaryi i zajął się załatwianiem urzędowych korespondencyi.
surprise	Aż się biali królowie sami przestraszyli, że za dużo zabiją.
anticipation	Ależ on tu nie próżnuje, więc jeszcze idzie naprzód.
joy	Zdumiony tym niezwykłym objawem uczucia, spojrzał na nią namiętnie; przy śniadaniu wydała mu się bardzo ładna; mimo że miał spuszczone oczy, cały czas rozbierał w myśli jej wdzięki.
neutral	Podeszła do Morela.
joy	— Ot, tu jest na to lekarstwo!
sadness	Petrek głowę spuścił, nie mówił nic.
anticipation	— Halo, dziewczynko!
sadness	W izbach, przez które przechodzili, cisza panowała i smutny mrok wieczora je zalegał.
anticipation	— Panu Braunowi kazałam, by zaraz mi wszystko donosił.
fear	Strasznie chciało mu się jechać, ale zlazł jak niepyszny i ponieważ mrok już zapadał, poszedł za ogrody odmówić wieczorne pacierze, ale mógł się to zebrać w sobie, kiedy jakaś dzieuszyna piesneczka dzwoniła gdzieś niedaleko i baby rajcowały w jakimś sadzie, że każde słowo leciało po rosie, i wrzeszczały dzieci kąpiące się w stawie, kajś znów śmiechy się zatrzęsły, to ryki krów, to księże perliczki darły się przenikliwie i cała wieś huczała przeróżnymi pogłosami niby ten ul rozbrzęczany, że cięgiem mu się myliło, a gdy nareszcie uchwycił wątek i przyklęknąwszy pod żytem wtopił rozmodlone oczy w to niebo rozgwiażdżone i poniósł duszę kajś w zaświaty, buchnęły od wsi takie przeraźliwe krzyki, lamenta i przeklinania, że poleciał ku domowi wystraszony wielce i niespokojny.
anger	— zawoła Don Kichot — tu nie czas na żarty, na wszystko jest właściwa pora; teraz nie pora na żarty.
disgust	Bodajeś nigdy matką nie była!
anger	Wziął na stronę przyjaciela, i rzekł mu: — Pani Ru ma złe serce!
anticipation	— Niech pan zaatakuje pierwszy południk.
fear	Nie mógł mnie przecie nikt zobaczyć w tych łachmanach.
joy	Mówiła to śpiewnie, z dziwnym upojeniem w głosie, który zdawał się wzbierać i drżeć, jakby chciał więcej powiedzieć, niż te proste słowa wyrażały.
joy	Cicho, sekretnie pochwalała tę rozpustę nocną, która nareszcie jej duszę uzdrowiła, wyzwoliła, oblała zimną rosą spokoju.
anger	— A nie obłaskawię, bo i ten będzie jeszcze mój, niech się jeno ciepło zrobi, to już umyśliłem taki sposób na niego, że nie wytrzyma na plebanii, a przyleci!
fear	Zasypywano pociskami zamek, zasypywano miasto, wszystkie bramy, wszystkie baszty.
anticipation	— dodał, ja z Neorżą moim powoli sobie radę dam.. jam nie wieczny, ani on...
fear	— Ja dawniej wiszę — szepnął cicho Andrzej, z jakimś ledwie odczutym akcentem bólu, i twarz mu pobladła, ale oczy natychmiast rozbłysły dawną energją wytrwania i uporu.
sadness	Ból jego serdeczny coraz bardziej ginął pod uczuciem wstydu, upokorzenia, zranionej miłości własnej.
sadness	Nie sposób było pisać ni jeść porządnie, słowem sto razy w ciągu dnia brakowało mi tych przedmiotów.
disgust	— Wracajcie skądeście przyszli.
sadness	Nie miał nikogo, z kim mógłby, lub chciał podzielić się myślami.
sadness	Ale zapomniałam o biednych w Sacca!
joy	O prześlicznie, panie O’Haro!
surprise	— O!
surprise	Nagle zadzwoniło, zawirowało.
surprise	Nie powiadano ci jeszcze?
fear	Grzmoty zgłuszyły strzelaninę i zataczając się kołem, dudniąc, hucząc, budziły straszne echo w skałach.
neutral	Toteż wkrótce w wyznaczonym miejscu stanęła walcowata budka, jakby pieprzniczka, nakryta szpiczastym dachem.
fear	— bełkotał przestraszony, bo Antek puścił kosę i szedł ku niemu blady, ze strasznymi oczami.
trust	— W jego ręku teraz zbawienie ojczyzny, a że gotów za nią życie oddać, niech mu Bóg błogosławi.
joy	Radość i zapał błysły w oczach Edmunda i złotnik się oddalił, pozostawiając swego młodego przyjaciela w najrozkoszniejszych oczekiwaniach.
sadness	Przekazywali sobie osobliwe wieści o pogrzebie wielkiego chana.
surprise	Ze zdumieniem spostrzegła, że służba zapala nad stołami lampy ze światłem skoncentrowanym.
joy	— Jesteś dobry i wielki, mój panie — rzekła Hayde, całując dłoń hrabiego — jestem szczęśliwa, że należę do ciebie.
sadness	— Istny potop — szepnął po chwili, a opierając czoło o szybę, dodał — Ciemno choć oko wykol.
sadness	Dlatego gdy tamte szczęśliwe... ja umieram z upokorzenia, z tęsknoty, ze wstydu.
joy	Winszuję panu, panie Murek.
surprise	Nigdy jeszcze nie widziałam człowieka w takim stanie.
neutral	Jedno na pierwszym piętrze za sto franków dziennie, drugie na trzecim za dziesięć franków.
anger	— Od chwili gdy zostałeś panem Egiptu, zbrodniarzami są ci, którzy ośmielają się widywać ciebie i nie zdawać sprawy z tego, o czym raczysz mówić...
neutral	Sadownik Zajmweł odwiózł do domu zmiętą czerwoną pościel i ostatni wózek zimowych jabłek.
neutral	Otworzyłem „ Le Figaro ”.
anticipation	Wyczekawszy jeszcze chwilę, puknął leciuchno w ten sam sposób.
